newsID,publisherID,dataset
BuzzfeedNews99,Publisher1,Data1
BuzzfeedNews125,Publisher1,Data1
BuzzfeedNews2,Publisher2,Data1
BuzzfeedNews5,Publisher2,Data1
BuzzfeedNews7,Publisher2,Data1
BuzzfeedNews8,Publisher2,Data1
BuzzfeedNews14,Publisher2,Data1
BuzzfeedNews36,Publisher2,Data1
BuzzfeedNews39,Publisher2,Data1
BuzzfeedNews64,Publisher2,Data1
BuzzfeedNews81,Publisher2,Data1
PolitifactNews9,Publisher2,Data2
PolitifactNews35,Publisher2,Data2
PolitifactNews45,Publisher2,Data2
PolitifactNews57,Publisher2,Data2
PolitifactNews59,Publisher2,Data2
PolitifactNews79,Publisher2,Data2
PolitifactNews96,Publisher2,Data2
PolitifactNews101,Publisher2,Data2
PolitifactNews120,Publisher2,Data2
BuzzfeedNews49,Publisher3,Data1
BuzzfeedNews57,Publisher3,Data1
BuzzfeedNews72,Publisher3,Data1
BuzzfeedNews74,Publisher3,Data1
BuzzfeedNews90,Publisher3,Data1
BuzzfeedNews92,Publisher3,Data1
BuzzfeedNews95,Publisher3,Data1
BuzzfeedNews130,Publisher3,Data1
BuzzfeedNews165,Publisher3,Data1
PolitifactNews15,Publisher3,Data2
PolitifactNews21,Publisher3,Data2
PolitifactNews26,Publisher3,Data2
PolitifactNews66,Publisher3,Data2
PolitifactNews70,Publisher3,Data2
PolitifactNews71,Publisher3,Data2
PolitifactNews90,Publisher3,Data2
BuzzfeedNews97,Publisher4,Data1
BuzzfeedNews109,Publisher4,Data1
BuzzfeedNews142,Publisher5,Data1
PolitifactNews37,Publisher5,Data2
PolitifactNews80,Publisher5,Data2
PolitifactNews88,Publisher5,Data2
PolitifactNews107,Publisher5,Data2
BuzzfeedNews118,Publisher6,Data1
BuzzfeedNews161,Publisher7,Data1
PolitifactNews36,Publisher7,Data2
BuzzfeedNews136,Publisher8,Data1
BuzzfeedNews180,Publisher8,Data1
BuzzfeedNews9,Publisher9,Data1
BuzzfeedNews12,Publisher9,Data1
BuzzfeedNews16,Publisher9,Data1
BuzzfeedNews23,Publisher9,Data1
BuzzfeedNews28,Publisher9,Data1
BuzzfeedNews32,Publisher9,Data1
BuzzfeedNews37,Publisher9,Data1
BuzzfeedNews40,Publisher9,Data1
BuzzfeedNews43,Publisher9,Data1
BuzzfeedNews45,Publisher9,Data1
BuzzfeedNews46,Publisher9,Data1
BuzzfeedNews47,Publisher9,Data1
BuzzfeedNews53,Publisher9,Data1
BuzzfeedNews61,Publisher9,Data1
BuzzfeedNews63,Publisher9,Data1
BuzzfeedNews67,Publisher9,Data1
BuzzfeedNews69,Publisher9,Data1
BuzzfeedNews71,Publisher9,Data1
BuzzfeedNews73,Publisher9,Data1
BuzzfeedNews79,Publisher9,Data1
BuzzfeedNews84,Publisher9,Data1
BuzzfeedNews85,Publisher9,Data1
BuzzfeedNews89,Publisher9,Data1
PolitifactNews3,Publisher9,Data2
PolitifactNews11,Publisher9,Data2
PolitifactNews12,Publisher9,Data2
PolitifactNews52,Publisher9,Data2
PolitifactNews53,Publisher9,Data2
PolitifactNews63,Publisher9,Data2
PolitifactNews64,Publisher9,Data2
PolitifactNews67,Publisher9,Data2
PolitifactNews68,Publisher9,Data2
PolitifactNews76,Publisher9,Data2
