news,userID,timesShared
BuzzfeedNews40,BuzzfeedUser1,1
BuzzfeedNews121,BuzzfeedUser2,1
BuzzfeedNews108,BuzzfeedUser3,1
BuzzfeedNews179,BuzzfeedUser3,1
BuzzfeedNews135,BuzzfeedUser4,1
BuzzfeedNews45,BuzzfeedUser5,1
BuzzfeedNews40,BuzzfeedUser6,1
BuzzfeedNews40,BuzzfeedUser7,1
BuzzfeedNews40,BuzzfeedUser8,1
BuzzfeedNews146,BuzzfeedUser9,1
BuzzfeedNews135,BuzzfeedUser10,1
BuzzfeedNews170,BuzzfeedUser10,1
BuzzfeedNews179,BuzzfeedUser10,1
BuzzfeedNews146,BuzzfeedUser11,1
BuzzfeedNews150,BuzzfeedUser12,1
BuzzfeedNews135,BuzzfeedUser13,1
BuzzfeedNews146,BuzzfeedUser14,1
BuzzfeedNews179,BuzzfeedUser15,1
BuzzfeedNews150,BuzzfeedUser16,1
BuzzfeedNews41,BuzzfeedUser17,1
BuzzfeedNews40,BuzzfeedUser18,1
BuzzfeedNews131,BuzzfeedUser19,1
BuzzfeedNews135,BuzzfeedUser19,1
BuzzfeedNews144,BuzzfeedUser19,1
BuzzfeedNews170,BuzzfeedUser19,2
BuzzfeedNews179,BuzzfeedUser19,1
BuzzfeedNews52,BuzzfeedUser20,1
BuzzfeedNews150,BuzzfeedUser21,1
BuzzfeedNews40,BuzzfeedUser22,1
BuzzfeedNews26,BuzzfeedUser23,1
BuzzfeedNews133,BuzzfeedUser24,1
BuzzfeedNews91,BuzzfeedUser25,1
BuzzfeedNews179,BuzzfeedUser26,1
BuzzfeedNews40,BuzzfeedUser27,1
BuzzfeedNews103,BuzzfeedUser28,1
BuzzfeedNews125,BuzzfeedUser29,1
BuzzfeedNews67,BuzzfeedUser30,1
BuzzfeedNews41,BuzzfeedUser30,1
BuzzfeedNews88,BuzzfeedUser30,1
BuzzfeedNews91,BuzzfeedUser30,1
BuzzfeedNews70,BuzzfeedUser31,1
BuzzfeedNews166,BuzzfeedUser32,1
BuzzfeedNews26,BuzzfeedUser33,1
BuzzfeedNews157,BuzzfeedUser33,1
BuzzfeedNews56,BuzzfeedUser34,1
BuzzfeedNews121,BuzzfeedUser35,1
BuzzfeedNews103,BuzzfeedUser36,1
BuzzfeedNews166,BuzzfeedUser36,1
BuzzfeedNews150,BuzzfeedUser37,1
BuzzfeedNews115,BuzzfeedUser38,1
