id,newsID,rating,factcheckID
NewsReview1,BuzzfeedNews1,0.0,FactcheckResource2
NewsReview2,BuzzfeedNews2,0.0,FactcheckResource2
NewsReview3,BuzzfeedNews3,0.0,FactcheckResource2
NewsReview4,BuzzfeedNews4,0.0,FactcheckResource2
NewsReview5,BuzzfeedNews5,0.0,FactcheckResource2
NewsReview6,BuzzfeedNews6,0.0,FactcheckResource2
NewsReview7,BuzzfeedNews7,0.0,FactcheckResource2
NewsReview8,BuzzfeedNews8,0.0,FactcheckResource2
NewsReview9,BuzzfeedNews9,0.0,FactcheckResource2
NewsReview10,BuzzfeedNews10,0.0,FactcheckResource2
NewsReview11,BuzzfeedNews11,0.0,FactcheckResource2
NewsReview12,BuzzfeedNews12,0.0,FactcheckResource2
NewsReview13,BuzzfeedNews13,0.0,FactcheckResource2
NewsReview14,BuzzfeedNews14,0.0,FactcheckResource2
NewsReview15,BuzzfeedNews15,0.0,FactcheckResource2
NewsReview16,BuzzfeedNews16,0.0,FactcheckResource2
NewsReview17,BuzzfeedNews17,0.0,FactcheckResource2
NewsReview18,BuzzfeedNews18,0.0,FactcheckResource2
NewsReview19,BuzzfeedNews19,0.0,FactcheckResource2
NewsReview20,BuzzfeedNews20,0.0,FactcheckResource2
NewsReview21,BuzzfeedNews21,0.0,FactcheckResource2
NewsReview22,BuzzfeedNews22,0.0,FactcheckResource2
NewsReview23,BuzzfeedNews23,0.0,FactcheckResource2
NewsReview24,BuzzfeedNews24,0.0,FactcheckResource2
NewsReview25,BuzzfeedNews25,0.0,FactcheckResource2
NewsReview26,BuzzfeedNews26,0.0,FactcheckResource2
NewsReview27,BuzzfeedNews27,0.0,FactcheckResource2
NewsReview28,BuzzfeedNews28,0.0,FactcheckResource2
NewsReview29,BuzzfeedNews29,0.0,FactcheckResource2
NewsReview30,BuzzfeedNews30,0.0,FactcheckResource2
NewsReview31,BuzzfeedNews31,0.0,FactcheckResource2
NewsReview32,BuzzfeedNews32,0.0,FactcheckResource2
NewsReview33,BuzzfeedNews33,0.0,FactcheckResource2
NewsReview34,BuzzfeedNews34,0.0,FactcheckResource2
NewsReview35,BuzzfeedNews35,0.0,FactcheckResource2
NewsReview36,BuzzfeedNews36,0.0,FactcheckResource2
NewsReview37,BuzzfeedNews37,0.0,FactcheckResource2
NewsReview38,BuzzfeedNews38,0.0,FactcheckResource2
NewsReview39,BuzzfeedNews39,0.0,FactcheckResource2
NewsReview40,BuzzfeedNews40,0.0,FactcheckResource2
NewsReview41,BuzzfeedNews41,0.0,FactcheckResource2
