RuleID,Atom_id,Negated,Model,Dataset,Fold_number,fold_id
GR1,RVA1,true,Model2,Data1,1,Fold1
GR1,RVA5710,true,Model2,Data1,1,Fold1
GR2,RVA6,true,Model2,Data1,1,Fold1
GR3,RVA4,true,Model2,Data1,1,Fold1
GR4,RVA3,true,Model2,Data1,1,Fold1
GR4,RVA778,true,Model2,Data1,1,Fold1
GR5,RVA1674,true,Model2,Data1,1,Fold1
GR6,RVA7,true,Model2,Data1,1,Fold1
GR7,RVA9,true,Model2,Data1,1,Fold1
GR8,RVA1670,true,Model2,Data1,1,Fold1
GR9,RVA1671,true,Model2,Data1,1,Fold1
GR10,RVA1672,true,Model2,Data1,1,Fold1
GR11,RVA10,true,Model2,Data1,1,Fold1
GR12,RVA10,true,Model2,Data1,1,Fold1
GR13,RVA1671,true,Model2,Data1,1,Fold1
GR13,RVA5710,true,Model2,Data1,1,Fold1
GR14,RVA1,true,Model2,Data1,1,Fold1
GR15,RVA10,true,Model2,Data1,1,Fold1
GR16,RVA10,true,Model2,Data1,1,Fold1
GR17,RVA1,true,Model2,Data1,1,Fold1
GR18,RVA8,true,Model2,Data1,1,Fold1
GR19,RVA11,true,Model2,Data1,1,Fold1
GR20,RVA5,true,Model2,Data1,1,Fold1
GR20,RVA5710,true,Model2,Data1,1,Fold1
GR21,RVA34,true,Model2,Data1,1,Fold1
GR21,RVA778,true,Model2,Data1,1,Fold1
GR22,RVA50,true,Model2,Data1,1,Fold1
GR23,RVA47,true,Model2,Data1,1,Fold1
GR24,RVA25,true,Model2,Data1,1,Fold1
GR24,RVA5710,true,Model2,Data1,1,Fold1
GR25,RVA48,true,Model2,Data1,1,Fold1
GR26,RVA44,true,Model2,Data1,1,Fold1
GR27,RVA46,true,Model2,Data1,1,Fold1
GR28,RVA52,true,Model2,Data1,1,Fold1
GR29,RVA19,true,Model2,Data1,1,Fold1
GR29,RVA9558,true,Model2,Data1,1,Fold1
GR30,RVA71,true,Model2,Data1,1,Fold1
GR31,RVA21,true,Model2,Data1,1,Fold1
GR32,RVA80,true,Model2,Data1,1,Fold1
GR33,RVA84,true,Model2,Data1,1,Fold1
GR34,RVA28,true,Model2,Data1,1,Fold1
GR35,RVA84,true,Model2,Data1,1,Fold1
GR36,RVA79,true,Model2,Data1,1,Fold1
GR36,RVA8356,true,Model2,Data1,1,Fold1
GR37,RVA83,true,Model2,Data1,1,Fold1
GR37,RVA778,true,Model2,Data1,1,Fold1
GR38,RVA82,true,Model2,Data1,1,Fold1
GR39,RVA84,true,Model2,Data1,1,Fold1
GR39,RVA8355,true,Model2,Data1,1,Fold1
GR40,RVA10,true,Model2,Data1,1,Fold1
GR40,RVA5710,true,Model2,Data1,1,Fold1
GR41,RVA126,true,Model2,Data1,1,Fold1
GR41,RVA723,true,Model2,Data1,1,Fold1
GR42,RVA98,true,Model2,Data1,1,Fold1
GR42,RVA5710,true,Model2,Data1,1,Fold1
GR43,RVA123,true,Model2,Data1,1,Fold1
GR44,RVA98,true,Model2,Data1,1,Fold1
GR45,RVA136,true,Model2,Data1,1,Fold1
GR45,RVA8355,true,Model2,Data1,1,Fold1
