id,iteration_number,objective,Model,Dataset,Fold_number,fold_id,performance_id
Iteration1,1,6129.238000000025,Model2,Data1,1,Fold1,Performance1
Iteration2,2,2175.6929999999375,Model2,Data1,1,Fold1,Performance1
Iteration3,3,1614.4639999999315,Model2,Data1,1,Fold1,Performance1
Iteration4,4,1471.692999999859,Model2,Data1,1,Fold1,Performance1
Iteration5,5,1418.0629999999392,Model2,Data1,1,Fold1,Performance1
Iteration6,6,1390.8219999999476,Model2,Data1,1,Fold1,Performance1
Iteration7,7,1373.4819999999584,Model2,Data1,1,Fold1,Performance1
Iteration8,8,1361.180999999962,Model2,Data1,1,Fold1,Performance1
Iteration9,9,1352.1639999999695,Model2,Data1,1,Fold1,Performance1
Iteration10,10,1345.1739999999636,Model2,Data1,1,Fold1,Performance1
Iteration11,11,1339.492999999963,Model2,Data1,1,Fold1,Performance1
Iteration12,12,1335.0479999999554,Model2,Data1,1,Fold1,Performance1
Iteration13,13,1331.3699999999603,Model2,Data1,1,Fold1,Performance1
Iteration14,14,1328.6319999999594,Model2,Data1,1,Fold1,Performance1
Iteration15,15,1326.3899999999583,Model2,Data1,1,Fold1,Performance1
Iteration16,16,1324.321999999966,Model2,Data1,1,Fold1,Performance1
Iteration17,17,1322.2559999999621,Model2,Data1,1,Fold1,Performance1
Iteration18,18,1321.1459999999647,Model2,Data1,1,Fold1,Performance1
Iteration19,19,1320.2239999999715,Model2,Data1,1,Fold1,Performance1
Iteration20,20,1319.1229999999666,Model2,Data1,1,Fold1,Performance1
Iteration21,21,1318.58499999997,Model2,Data1,1,Fold1,Performance1
Iteration22,22,1318.1029999999712,Model2,Data1,1,Fold1,Performance1
Iteration23,23,1317.7009999999727,Model2,Data1,1,Fold1,Performance1
Iteration24,24,1317.461999999977,Model2,Data1,1,Fold1,Performance1
Iteration25,25,1317.0619999999733,Model2,Data1,1,Fold1,Performance1
Iteration26,26,1316.8949999999793,Model2,Data1,1,Fold1,Performance1
Iteration27,27,1316.7649999999785,Model2,Data1,1,Fold1,Performance1
Iteration28,28,1316.6129999999807,Model2,Data1,1,Fold1,Performance1
Iteration29,29,1316.527999999979,Model2,Data1,1,Fold1,Performance1
Iteration30,30,1316.4369999999765,Model2,Data1,1,Fold1,Performance1
Iteration31,31,1316.4809999999745,Model2,Data1,1,Fold1,Performance1
Iteration32,32,1316.3719999999757,Model2,Data1,1,Fold1,Performance1
Iteration33,33,1316.0939999999798,Model2,Data1,1,Fold1,Performance1
Iteration34,34,1316.12299999998,Model2,Data1,1,Fold1,Performance1
Iteration35,35,1316.0619999999801,Model2,Data1,1,Fold1,Performance1
Iteration36,36,1316.095999999983,Model2,Data1,1,Fold1,Performance1
Iteration37,37,1316.0809999999835,Model2,Data1,1,Fold1,Performance1
Iteration38,38,1316.101999999984,Model2,Data1,1,Fold1,Performance1
Iteration39,39,1316.0469999999852,Model2,Data1,1,Fold1,Performance1
Iteration40,40,1316.0389999999843,Model2,Data1,1,Fold1,Performance1
Iteration41,41,1316.0809999999844,Model2,Data1,1,Fold1,Performance1
Iteration42,42,1316.0339999999849,Model2,Data1,1,Fold1,Performance1
Iteration43,43,1316.024999999985,Model2,Data1,1,Fold1,Performance1
Iteration44,44,1316.033999999985,Model2,Data1,1,Fold1,Performance1
Iteration1,1,9426.597000000183,Model2,Data2,1,Fold91,Performance91
Iteration2,2,3252.751999999983,Model2,Data2,1,Fold91,Performance91
Iteration3,3,2442.8679999999326,Model2,Data2,1,Fold91,Performance91
Iteration4,4,2262.952999999831,Model2,Data2,1,Fold91,Performance91
Iteration5,5,2202.5279999999343,Model2,Data2,1,Fold91,Performance91
Iteration6,6,2173.1739999999363,Model2,Data2,1,Fold91,Performance91
Iteration7,7,2153.6999999999393,Model2,Data2,1,Fold91,Performance91
Iteration8,8,2138.6569999999256,Model2,Data2,1,Fold91,Performance91
Iteration9,9,2126.907999999904,Model2,Data2,1,Fold91,Performance91
Iteration10,10,2117.2969999999164,Model2,Data2,1,Fold91,Performance91
Iteration11,11,2109.4209999999293,Model2,Data2,1,Fold91,Performance91
Iteration12,12,2103.2189999999414,Model2,Data2,1,Fold91,Performance91
Iteration13,13,2097.58599999992,Model2,Data2,1,Fold91,Performance91
Iteration14,14,2092.7699999999486,Model2,Data2,1,Fold91,Performance91
Iteration15,15,2089.374999999945,Model2,Data2,1,Fold91,Performance91
Iteration16,16,2086.340999999951,Model2,Data2,1,Fold91,Performance91
Iteration17,17,2083.859999999933,Model2,Data2,1,Fold91,Performance91
Iteration18,18,2081.4579999999564,Model2,Data2,1,Fold91,Performance91
Iteration19,19,2079.25399999994,Model2,Data2,1,Fold91,Performance91
Iteration20,20,2077.97599999998,Model2,Data2,1,Fold91,Performance91
Iteration21,21,2076.481999999969,Model2,Data2,1,Fold91,Performance91
Iteration22,22,2075.174999999955,Model2,Data2,1,Fold91,Performance91
Iteration23,23,2074.152999999967,Model2,Data2,1,Fold91,Performance91
Iteration24,24,2073.4479999999608,Model2,Data2,1,Fold91,Performance91
Iteration25,25,2072.5119999999247,Model2,Data2,1,Fold91,Performance91
Iteration26,26,2072.126999999973,Model2,Data2,1,Fold91,Performance91
Iteration27,27,2071.5529999999567,Model2,Data2,1,Fold91,Performance91
Iteration28,28,2070.929999999941,Model2,Data2,1,Fold91,Performance91
Iteration29,29,2070.7819999999338,Model2,Data2,1,Fold91,Performance91
Iteration30,30,2070.099999999944,Model2,Data2,1,Fold91,Performance91
Iteration31,31,2069.8709999999346,Model2,Data2,1,Fold91,Performance91
Iteration32,32,2069.4939999999497,Model2,Data2,1,Fold91,Performance91
Iteration33,33,2069.1419999999357,Model2,Data2,1,Fold91,Performance91
Iteration34,34,2068.962999999924,Model2,Data2,1,Fold91,Performance91
