id,Accuracy,F1,Pos_Recall,Neg_Recall,Pos_Precision,Neg_Precision
Performance1,0.861111,0.871795,1.000000,0.736842,0.772727,1.000000
Performance2,0.888889,0.857143,0.923077,0.869565,0.800000,0.952381
Performance3,0.833333,0.863636,0.950000,0.687500,0.791667,0.916667
Performance4,0.777778,0.826087,0.904762,0.600000,0.760000,0.818182
Performance5,0.861111,0.864865,0.941176,0.789474,0.800000,0.937500
Performance6,0.805556,0.844444,1.000000,0.588235,0.730769,1.000000
Performance7,0.750000,0.769231,0.937500,0.600000,0.652174,0.923077
Performance8,0.861111,0.857143,0.882353,0.842105,0.833333,0.888889
Performance9,0.861111,0.857143,0.882353,0.842105,0.833333,0.888889
Performance10,0.861111,0.864865,1.000000,0.750000,0.761905,1.000000
Performance11,0.888889,0.888889,1.000000,0.800000,0.800000,1.000000
Performance12,0.833333,0.823529,0.933333,0.761905,0.736842,0.941176
Performance13,0.833333,0.869565,0.952381,0.666667,0.800000,0.909091
Performance14,0.833333,0.800000,1.000000,0.750000,0.666667,1.000000
Performance15,0.805556,0.820513,0.842105,0.764706,0.800000,0.812500
Performance16,0.750000,0.780488,0.941176,0.578947,0.666667,0.916667
Performance17,0.888889,0.857143,0.857143,0.909091,0.857143,0.909091
Performance18,0.805556,0.758621,0.785714,0.818182,0.733333,0.857143
Performance19,0.805556,0.837209,1.000000,0.611111,0.720000,1.000000
Performance20,0.944444,0.958333,0.920000,1.000000,1.000000,0.846154
Performance21,0.888889,0.904762,0.950000,0.812500,0.863636,0.928571
Performance22,0.888889,0.888889,1.000000,0.800000,0.800000,1.000000
Performance23,0.888889,0.888889,0.941176,0.842105,0.842105,0.941176
Performance24,0.694444,0.717949,0.700000,0.687500,0.736842,0.647059
Performance25,0.861111,0.883721,1.000000,0.705882,0.791667,1.000000
Performance26,0.861111,0.888889,0.952381,0.733333,0.833333,0.916667
Performance27,0.861111,0.883721,1.000000,0.705882,0.791667,1.000000
Performance28,0.944444,0.941176,1.000000,0.900000,0.888889,1.000000
Performance29,0.861111,0.878049,0.947368,0.764706,0.818182,0.928571
Performance30,0.777778,0.750000,0.705882,0.842105,0.800000,0.761905
Performance31,0.861111,0.871795,1.000000,0.736842,0.772727,1.000000
Performance32,0.888889,0.866667,1.000000,0.826087,0.764706,1.000000
Performance33,0.861111,0.888889,1.000000,0.687500,0.800000,1.000000
Performance34,0.833333,0.875000,1.000000,0.600000,0.777778,1.000000
Performance35,0.888889,0.894737,1.000000,0.789474,0.809524,1.000000
Performance36,0.805556,0.844444,1.000000,0.588235,0.730769,1.000000
Performance37,0.750000,0.780488,1.000000,0.550000,0.640000,1.000000
Performance38,0.888889,0.894737,1.000000,0.789474,0.809524,1.000000
Performance39,0.888889,0.894737,1.000000,0.789474,0.809524,1.000000
Performance40,0.833333,0.842105,1.000000,0.700000,0.727273,1.000000
Performance41,0.861111,0.864865,1.000000,0.750000,0.761905,1.000000
Performance42,0.805556,0.810811,1.000000,0.666667,0.681818,1.000000
Performance43,0.861111,0.893617,1.000000,0.666667,0.807692,1.000000
Performance44,0.805556,0.774194,1.000000,0.708333,0.631579,1.000000
Performance45,0.861111,0.883721,1.000000,0.705882,0.791667,1.000000
Performance46,0.777778,0.809524,1.000000,0.578947,0.680000,1.000000
Performance47,0.861111,0.848485,1.000000,0.772727,0.736842,1.000000
Performance48,0.861111,0.848485,1.000000,0.772727,0.736842,1.000000
Performance49,0.805556,0.837209,1.000000,0.611111,0.720000,1.000000
Performance50,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Performance51,0.916667,0.930233,1.000000,0.812500,0.869565,1.000000
Performance52,0.861111,0.864865,1.000000,0.750000,0.761905,1.000000
Performance53,0.916667,0.918919,1.000000,0.842105,0.850000,1.000000
Performance54,0.861111,0.888889,1.000000,0.687500,0.800000,1.000000
Performance55,0.861111,0.883721,1.000000,0.705882,0.791667,1.000000
Performance56,0.833333,0.875000,1.000000,0.600000,0.777778,1.000000
Performance57,0.861111,0.883721,1.000000,0.705882,0.791667,1.000000
Performance58,0.944444,0.941176,1.000000,0.900000,0.888889,1.000000
Performance59,0.888889,0.904762,1.000000,0.764706,0.826087,1.000000
Performance60,0.861111,0.871795,1.000000,0.736842,0.772727,1.000000
Performance61,0.861111,0.871795,1.000000,0.736842,0.772727,1.000000
Performance62,0.916667,0.896552,1.000000,0.869565,0.812500,1.000000
Performance63,0.861111,0.888889,1.000000,0.687500,0.800000,1.000000
Performance64,0.833333,0.875000,1.000000,0.600000,0.777778,1.000000
Performance65,0.888889,0.894737,1.000000,0.789474,0.809524,1.000000
Performance66,0.805556,0.844444,1.000000,0.588235,0.730769,1.000000
Performance67,0.750000,0.780488,1.000000,0.550000,0.640000,1.000000
Performance68,0.888889,0.894737,1.000000,0.789474,0.809524,1.000000
Performance69,0.888889,0.894737,1.000000,0.789474,0.809524,1.000000
Performance70,0.833333,0.842105,1.000000,0.700000,0.727273,1.000000
Performance71,0.861111,0.864865,1.000000,0.750000,0.761905,1.000000
Performance72,0.805556,0.810811,1.000000,0.666667,0.681818,1.000000
Performance73,0.861111,0.893617,1.000000,0.666667,0.807692,1.000000
Performance74,0.805556,0.774194,1.000000,0.708333,0.631579,1.000000
Performance75,0.861111,0.883721,1.000000,0.705882,0.791667,1.000000
Performance76,0.777778,0.809524,1.000000,0.578947,0.680000,1.000000
Performance77,0.888889,0.875000,1.000000,0.818182,0.777778,1.000000
Performance78,0.861111,0.848485,1.000000,0.772727,0.736842,1.000000
