name,rva,groundRuleCount
FAKENEWS(BuzzFeed_Fake_89),https://nobias-project.eu/RandomVariableAtom/RVA5710,2090
FAKENEWS(BuzzFeed_Fake_4),https://nobias-project.eu/RandomVariableAtom/RVA9558,836
FAKENEWS(BuzzFeed_Real_46),https://nobias-project.eu/RandomVariableAtom/RVA778,564
FAKENEWS(BuzzFeed_Real_13),https://nobias-project.eu/RandomVariableAtom/RVA724,516
FAKENEWS(BuzzFeed_Fake_51),https://nobias-project.eu/RandomVariableAtom/RVA8356,484
FAKENEWS(BuzzFeed_Real_73),https://nobias-project.eu/RandomVariableAtom/RVA845,430
FAKENEWS(BuzzFeed_Real_66),https://nobias-project.eu/RandomVariableAtom/RVA844,424
FAKENEWS(BuzzFeed_Fake_78),https://nobias-project.eu/RandomVariableAtom/RVA8350,408
FAKENEWS(BuzzFeed_Fake_31),https://nobias-project.eu/RandomVariableAtom/RVA8368,330
FAKENEWS(BuzzFeed_Fake_60),https://nobias-project.eu/RandomVariableAtom/RVA8355,314
FAKENEWS(BuzzFeed_Fake_15),https://nobias-project.eu/RandomVariableAtom/RVA8405,280
FAKENEWS(BuzzFeed_Fake_9),https://nobias-project.eu/RandomVariableAtom/RVA9560,256
FAKENEWS(BuzzFeed_Real_41),https://nobias-project.eu/RandomVariableAtom/RVA773,208
FAKENEWS(BuzzFeed_Real_34),https://nobias-project.eu/RandomVariableAtom/RVA754,170
FAKENEWS(BuzzFeed_Real_86),https://nobias-project.eu/RandomVariableAtom/RVA848,138
FAKENEWS(BuzzFeed_Real_2),https://nobias-project.eu/RandomVariableAtom/RVA9557,104
FAKENEWS(BuzzFeed_Real_81),https://nobias-project.eu/RandomVariableAtom/RVA846,96
FAKENEWS(BuzzFeed_Fake_53),https://nobias-project.eu/RandomVariableAtom/RVA8357,92
FAKENEWS(BuzzFeed_Real_43),https://nobias-project.eu/RandomVariableAtom/RVA777,68
FAKENEWS(BuzzFeed_Real_84),https://nobias-project.eu/RandomVariableAtom/RVA847,66
USERCREDLAT(14404),https://nobias-project.eu/RandomVariableAtom/RVA8849,58
FAKENEWS(BuzzFeed_Real_12),https://nobias-project.eu/RandomVariableAtom/RVA723,40
FAKENEWS(BuzzFeed_Real_62),https://nobias-project.eu/RandomVariableAtom/RVA836,40
USERCREDLAT(2671),https://nobias-project.eu/RandomVariableAtom/RVA4548,40
PUBCREDLAT(http://politi.co),https://nobias-project.eu/RandomVariableAtom/RVA14959,39
FAKENEWS(BuzzFeed_Real_37),https://nobias-project.eu/RandomVariableAtom/RVA756,38
USERCREDLAT(5392),https://nobias-project.eu/RandomVariableAtom/RVA5923,38
USERCREDLAT(6611),https://nobias-project.eu/RandomVariableAtom/RVA6598,33
USERCREDLAT(11013),https://nobias-project.eu/RandomVariableAtom/RVA1476,32
USERCREDLAT(4463),https://nobias-project.eu/RandomVariableAtom/RVA9130,31
USERCREDLAT(9476),https://nobias-project.eu/RandomVariableAtom/RVA14648,31
FAKENEWS(BuzzFeed_Fake_28),https://nobias-project.eu/RandomVariableAtom/RVA8378,30
PUBCREDLAT(http://cnn.it),https://nobias-project.eu/RandomVariableAtom/RVA8436,30
PUBCREDLAT(http://rightwingnews.com),https://nobias-project.eu/RandomVariableAtom/RVA11888,29
FAKENEWS(BuzzFeed_Fake_68),https://nobias-project.eu/RandomVariableAtom/RVA8353,28
FAKENEWS(BuzzFeed_Real_1),https://nobias-project.eu/RandomVariableAtom/RVA9555,28
FAKENEWS(BuzzFeed_Real_54),https://nobias-project.eu/RandomVariableAtom/RVA803,28
USERCREDLAT(11929),https://nobias-project.eu/RandomVariableAtom/RVA13655,28
USERCREDLAT(14477),https://nobias-project.eu/RandomVariableAtom/RVA8918,28
USERCREDLAT(8243),https://nobias-project.eu/RandomVariableAtom/RVA14430,28
FAKENEWS(BuzzFeed_Fake_70),https://nobias-project.eu/RandomVariableAtom/RVA8351,26
USERCREDLAT(14260),https://nobias-project.eu/RandomVariableAtom/RVA5581,26
USERCREDLAT(2133),https://nobias-project.eu/RandomVariableAtom/RVA7339,26
USERCREDLAT(7152),https://nobias-project.eu/RandomVariableAtom/RVA10436,26
USERCREDLAT(9147),https://nobias-project.eu/RandomVariableAtom/RVA13141,26
PUBCREDLAT(http://eaglerising.com),https://nobias-project.eu/RandomVariableAtom/RVA13434,25
USERCREDLAT(1546),https://nobias-project.eu/RandomVariableAtom/RVA3329,25
USERCREDLAT(6054),https://nobias-project.eu/RandomVariableAtom/RVA9473,25
FAKENEWS(BuzzFeed_Fake_67),https://nobias-project.eu/RandomVariableAtom/RVA8354,24
USERCREDLAT(10607),https://nobias-project.eu/RandomVariableAtom/RVA13606,24
USERCREDLAT(11887),https://nobias-project.eu/RandomVariableAtom/RVA13968,24
USERCREDLAT(1583),https://nobias-project.eu/RandomVariableAtom/RVA3436,24
USERCREDLAT(5194),https://nobias-project.eu/RandomVariableAtom/RVA11072,24
USERCREDLAT(14346),https://nobias-project.eu/RandomVariableAtom/RVA4914,23
USERCREDLAT(1676),https://nobias-project.eu/RandomVariableAtom/RVA2872,23
USERCREDLAT(4828),https://nobias-project.eu/RandomVariableAtom/RVA2303,23
FAKENEWS(BuzzFeed_Fake_12),https://nobias-project.eu/RandomVariableAtom/RVA8411,22
USERCREDLAT(10569),https://nobias-project.eu/RandomVariableAtom/RVA13943,22
USERCREDLAT(14010),https://nobias-project.eu/RandomVariableAtom/RVA6472,22
USERCREDLAT(4469),https://nobias-project.eu/RandomVariableAtom/RVA9118,22
USERCREDLAT(5249),https://nobias-project.eu/RandomVariableAtom/RVA11504,22
USERCREDLAT(7265),https://nobias-project.eu/RandomVariableAtom/RVA9950,22
USERCREDLAT(9848),https://nobias-project.eu/RandomVariableAtom/RVA10600,22
USERCREDLAT(12380),https://nobias-project.eu/RandomVariableAtom/RVA1344,21
USERCREDLAT(2033),https://nobias-project.eu/RandomVariableAtom/RVA8087,21
USERCREDLAT(532),https://nobias-project.eu/RandomVariableAtom/RVA12922,21
USERCREDLAT(5996),https://nobias-project.eu/RandomVariableAtom/RVA7991,21
FAKENEWS(BuzzFeed_Fake_27),https://nobias-project.eu/RandomVariableAtom/RVA8379,20
USERCREDLAT(14197),https://nobias-project.eu/RandomVariableAtom/RVA5666,20
USERCREDLAT(14844),https://nobias-project.eu/RandomVariableAtom/RVA2647,20
USERCREDLAT(3526),https://nobias-project.eu/RandomVariableAtom/RVA2357,20
USERCREDLAT(4960),https://nobias-project.eu/RandomVariableAtom/RVA1634,20
USERCREDLAT(8134),https://nobias-project.eu/RandomVariableAtom/RVA14581,20
USERCREDLAT(9585),https://nobias-project.eu/RandomVariableAtom/RVA14408,20
