rva,lastValue,convergenceNumber
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA1,0.031,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA2,1.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA3,0.854,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA4,0.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA5,0.097,33
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA6,0.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA7,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA8,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA9,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA10,0.019,31
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA11,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA12,1.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA13,0.996,22
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA14,1.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA15,0.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA16,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA17,1.0,10
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA18,0.566,24
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA19,0.062,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA20,0.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA21,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA22,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA23,0.854,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA24,1.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA25,0.097,33
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA26,1.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA27,1.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA28,0.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA29,1.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA30,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA31,0.0,5
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA32,0.062,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA33,1.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA34,0.962,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA35,1.0,4
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA36,0.854,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA37,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA38,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA39,0.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA40,0.654,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA41,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA42,0.02,33
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA43,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA44,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA45,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA46,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA47,0.0,6
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA48,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA49,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA50,0.486,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA51,1.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA52,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA53,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA54,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA55,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA56,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA57,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA58,0.029,33
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA59,0.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA60,0.062,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA61,1.0,6
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA62,0.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA63,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA64,0.047,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA65,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA66,0.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA67,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA68,0.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA69,0.0,4
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA70,1.0,5
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA71,0.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA72,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA73,0.0,6
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA74,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA75,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA76,0.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA77,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA78,1.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA79,0.078,33
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA80,0.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA81,1.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA82,0.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA83,0.854,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA84,0.515,27
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA85,0.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA86,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA87,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA88,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA89,1.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA90,1.0,10
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA91,0.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA92,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA93,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA94,0.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA95,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA96,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA97,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA98,0.047,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA99,1.0,10
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA100,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA101,1.0,5
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA102,1.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA103,1.0,5
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA104,1.0,6
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA105,1.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA106,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA107,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA108,1.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA109,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA110,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA111,0.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA112,0.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA113,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA114,0.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA115,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA116,0.097,33
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA117,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA118,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA119,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA120,0.486,10
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA121,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA122,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA123,0.047,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA124,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA125,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA126,0.998,21
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA127,0.825,11
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA128,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA129,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA130,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA131,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA132,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA133,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA134,0.348,33
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA135,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA136,0.225,28
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA137,1.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA138,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA139,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA140,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA141,0.0,6
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA142,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA143,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA144,0.063,33
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA145,0.854,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA146,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA147,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA148,0.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA149,1.0,10
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA150,1.0,6
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA151,1.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA152,0.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA153,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA154,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA155,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA156,0.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA157,0.795,31
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA158,1.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA159,0.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA160,0.062,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA161,0.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA162,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA163,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA164,0.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA165,1.0,10
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA166,0.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA167,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA168,0.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA169,0.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA170,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA171,0.031,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA172,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA173,1.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA174,1.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA175,0.012,29
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA176,0.0,6
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA177,0.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA178,0.041,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA179,1.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA180,0.0,3
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA181,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA182,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA183,0.854,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA184,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA185,0.097,33
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA186,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA187,0.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA188,0.097,33
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA189,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA190,1.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA191,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA192,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA193,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA194,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA195,0.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA196,0.0,4
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA197,0.097,33
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA198,1.0,5
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA199,0.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA200,0.062,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA201,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA202,0.795,31
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA203,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA204,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA205,1.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA206,0.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA207,0.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA208,0.0,4
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA209,1.0,5
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA210,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA211,0.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA212,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA213,0.996,25
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA214,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA215,0.486,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA216,0.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA217,0.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA218,1.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA219,0.0,3
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA220,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA221,0.097,33
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA222,0.047,34
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA223,0.486,10
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA224,1.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA225,0.486,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA226,1.0,7
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA227,0.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA228,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA229,1.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA230,1.0,9
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA231,1.0,8
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA232,0.0,2
https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA233,0.0,7
