s,socialMediaURL,relatedAtom,inferredCredibility
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser10,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA1,0.031
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser18,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA2,1.0
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser17,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA3,0.854
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser16,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA4,0.0
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser15,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA5,0.097
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser14,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA6,0.0
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser13,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA7,0.0
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser12,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA8,0.0
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser11,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA9,0.0
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser19,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA10,0.019
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser21,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA11,0.0
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser20,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA12,1.0
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser11280,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA13,0.996
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser11281,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA14,1.0
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser11282,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA15,0.0
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser11283,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA16,0.0
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser11284,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA17,1.0
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser11285,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA18,0.566
https://nobias-project.eu/SocialMediaUser/BuzzfeedUser29,https://twitter.com/,https://nobias-project.eu/RandomVariableAtom/RVA19,0.062
